Episode,Reward,Steps,Exploration Rate
218,635.0,55679,0.9861766800482931
219,232.0,55719,0.986166818329567
220,854.0,56802,0.9858998497725949
221,583.0,56919,0.985871012620125
222,236.0,56957,0.9858616468888202
223,249.0,56986,0.9858544994168962
224,1274.0,57471,0.9857349717903926
225,228.0,57512,0.9857248680574492
226,878.0,58480,0.9854863514712022
227,807.0,58661,0.9854417592171253
228,246.0,58693,0.9854338757135989
229,756.0,59130,0.985326222929846
230,688.0,59398,0.9852602082761643
231,674.0,60015,0.9851082435905989
232,967.0,60531,0.9849811728075156
233,595.0,60632,0.9849563023437811
234,648.0,60731,0.9849319249739188
235,936.0,61405,0.9847659779052276
236,765.0,61798,0.9846692293886397
237,227.0,61835,0.9846601212392534
238,796.0,63269,0.9843071838094373
239,229.0,63308,0.9842975868599796
240,233.0,63347,0.9842879900040915
241,236.0,63384,0.9842788853811536
242,585.0,63477,0.9842560011602348
243,607.0,63575,0.9842318871805862
244,236.0,63611,0.9842230291323546
245,239.0,63650,0.9842134330034008
246,652.0,63728,0.984194241026178
247,725.0,63917,0.9841477389410903
248,244.0,63948,0.9841401118247146
249,1291.0,64267,0.9840616297704907
250,737.0,64427,0.9840222680876132
251,618.0,64510,0.9840018498348354
252,1233.0,65174,0.9838385190641525
253,228.0,65218,0.9838276968986105
254,637.0,65372,0.9837898202566701
255,234.0,65407,0.9837812121323262
256,590.0,65510,0.9837558800890953
257,247.0,65546,0.9837470263249083
258,805.0,65738,0.983699807594994
259,581.0,65844,0.9836737398922294
260,1392.0,66217,0.9835820165811722
261,1269.0,66778,0.9834440788591943
262,249.0,66807,0.9834369489145763
263,226.0,66845,0.9834276063067698
264,240.0,66876,0.9834199847714008
265,233.0,66914,0.9834106423247531
266,247.0,66948,0.983402283368773
267,1590.0,67675,0.9832235662228186
268,772.0,68031,0.9831360632084174
269,637.0,68185,0.9830982131938648
270,966.0,68716,0.9829677155517057
271,239.0,68755,0.9829581316620013
272,1626.0,69134,0.9828650007795172
273,250.0,69163,0.9828578750332008
274,660.0,69785,0.9827050524967695
275,791.0,70049,0.9826401960954734
276,715.0,70180,0.9826080151519898
277,222.0,70224,0.9825972065219182
278,231.0,70265,0.9825871349509078
279,606.0,70362,0.9825633074988122
280,243.0,70397,0.9825547101064092
281,248.0,70428,0.9825470953359602
282,658.0,70875,0.9824373018191435
283,718.0,71500,0.982283807963548
284,810.0,71667,0.9822427984655129
285,761.0,72081,0.9821411415839848
286,1002.0,72439,0.9820532438742944
287,234.0,72478,0.9820436689006464
288,1042.0,72636,0.9820048789369775
289,238.0,72676,0.9819950589360593
290,808.0,73997,0.9816708085720582
291,641.0,74132,0.9816376777372088
292,609.0,74285,0.9816001308094261
293,243.0,74322,0.9815910510490738
294,812.0,74480,0.9815522789634594
295,732.0,75036,0.9814158526614588
296,240.0,75068,0.9814080013650601
297,692.0,75295,0.9813523080343263
298,217.0,75343,0.9813405318758133
299,636.0,75501,0.9813017696855116
300,619.0,75611,0.9812747842545197
301,774.0,75956,0.9811901529435649
302,248.0,75986,0.9811827940440929
303,231.0,76025,0.9811732275572905
304,239.0,76057,0.9811653782018852
305,623.0,76151,0.9811423210835344
306,638.0,76233,0.9811222078695966
307,248.0,76269,0.9811133778083561
308,234.0,76309,0.9811035667224057
309,244.0,76341,0.981095717924285
310,249.0,76374,0.981087623916987
311,624.0,76455,0.9810677570912687
312,238.0,76491,0.9810589275200831
313,705.0,76948,0.9809468479262563
314,239.0,76983,0.9809382646778148
315,235.0,77023,0.980928455342987
316,673.0,77436,0.9808271796957447
317,637.0,77587,0.9807901541639392
318,252.0,77616,0.9807830434602081
319,615.0,77712,0.9807595049466827
320,586.0,77858,0.980723707873573
321,671.0,78721,0.98051213953088
322,686.0,79508,0.9803192427201342
323,1296.0,79773,0.9802542987134707
324,604.0,79870,0.9802305278319751
325,228.0,79912,0.9802202354641798
326,1328.0,81346,0.9798688894483351
327,782.0,81544,0.9798203871326798
328,612.0,81643,0.9797961368751618
329,624.0,81732,0.9797743366509165
330,1023.0,81963,0.9797177563096676
331,632.0,82051,0.9796962027534216
332,242.0,82082,0.9796886101363215
333,238.0,82121,0.9796790582177429
334,601.0,82222,0.9796543216307281
335,659.0,82749,0.9795252606597807
336,638.0,82897,0.979489018891078
337,1096.0,83270,0.9793976857871085
338,608.0,83364,0.9793746702090463
339,911.0,84160,0.9791797940161127
340,600.0,84265,0.9791540908806583
341,622.0,84403,0.9791203106430078
342,1305.0,85857,0.9787644650444168
343,639.0,86000,0.9787294748358668
344,704.0,86700,0.9785582121422614
345,718.0,86981,0.9784894708338229
346,543.0,88115,0.978212108352122
347,226.0,88158,0.9782015926271634
348,251.0,88188,0.9781942561418125
349,234.0,88227,0.978184718793116
350,637.0,88301,0.9781666225409448
351,1249.0,88850,0.9780323783679191
352,1323.0,89094,0.9779727202049656
353,243.0,89128,0.9779644074711329
354,636.0,89285,0.9779260231166341
355,637.0,89435,0.9778893515737735
356,602.0,89557,0.977859526399655
357,1414.0,89813,0.9777969453847477
358,1693.0,90076,0.9777326573410362
359,650.0,90162,0.9777116363122496
360,596.0,90298,0.977678394677566
361,640.0,90433,0.9776453985844287
362,648.0,91050,0.9774946083928194
363,565.0,91998,0.9772629695919248
364,638.0,92143,0.9772275444469285
365,622.0,92239,0.9772040912643664
366,862.0,93349,0.9769329547170492
367,236.0,93388,0.9769234296659834
368,804.0,93586,0.9768750731469973
369,713.0,93944,0.9767876467294005
370,640.0,94084,0.9767534597557622
371,1018.0,94355,0.9766872869422123
372,638.0,94505,0.9766506618510936
373,607.0,94567,0.9766355238812602
374,595.0,94735,0.976594506045505
375,600.0,94844,0.9765678942044731
376,600.0,94926,0.9765478747653368
377,767.0,95308,0.9764546188846657
378,614.0,95410,0.9764297196062356
379,615.0,95495,0.9764089706925554
380,635.0,95656,0.9763696710174778
381,636.0,95756,0.9763452620777608
382,636.0,95912,0.9763071853502758
383,1038.0,96079,0.9762664253710573
384,234.0,96114,0.976257883076139
385,803.0,96318,0.9762080951874736
386,219.0,96359,0.976198089104527
387,790.0,96624,0.976133418115281
388,506.0,97866,0.9758303757008027
389,236.0,97900,0.9758220811768231
390,874.0,98885,0.9755818145433093
391,230.0,98928,0.975571327093861
392,614.0,99022,0.9755484014341828
393,625.0,99235,0.9754964548583952
394,640.0,99375,0.9754623130756874
395,636.0,100411,0.9752097010196648
396,231.0,100451,0.9751999489701946
397,606.0,100540,0.9751782510100052
398,919.0,101433,0.9749605667381374
399,652.0,102194,0.9747750981103688
400,603.0,102377,0.9747305031641668
401,685.0,102687,0.9746549644678811
402,785.0,102978,0.974584060889491
403,705.0,103425,0.9744751571921659
404,233.0,103464,0.9744656561045122
405,602.0,103566,0.9744408075439924
406,614.0,103834,0.9743755221888009
407,576.0,105173,0.9740494045289269
408,1264.0,105691,0.9739232732824317
409,230.0,105728,0.9739142645326919
410,629.0,105827,0.9738901604499177
411,1217.0,106600,0.9737019743369304
412,223.0,106644,0.9736912636727809
413,245.0,106673,0.9736842044358257
414,1029.0,106984,0.9736085034223728
415,648.0,107084,0.9735841635109914
416,621.0,107179,0.9735610411587934
417,239.0,107218,0.9735515489837289
418,236.0,107258,0.9735418135156981
419,623.0,107359,0.9735172318921751
420,214.0,107404,0.9735062798835511
421,959.0,108020,0.9733563714409365
422,754.0,108469,0.9732471183065172
423,581.0,109779,0.9729284320231192
424,729.0,111498,0.9725104058069621
425,771.0,111862,0.9724219113755171
426,240.0,111894,0.9724141320303702
427,744.0,112392,0.9722930739918023
428,638.0,112538,0.9722575859378211
429,770.0,112907,0.9721678993011545
430,991.0,113305,0.9720711733952634
431,622.0,113530,0.9720164959227362
432,788.0,113807,0.9719491861026001
433,619.0,113910,0.9719241587301549
434,747.0,114202,0.9718532108473182
435,246.0,114235,0.9718451930903989
436,232.0,114275,0.9718354746858439
437,597.0,114408,0.9718031616894734
438,1258.0,114994,0.9716608029365063
439,730.0,115293,0.9715881739969389
440,245.0,115327,0.9715799155315247
441,231.0,115366,0.971570442672343
442,635.0,115529,0.9715308519785159
443,673.0,115979,0.9714215608917306
444,730.0,116185,0.9713715339632887
445,606.0,116273,0.9713501640219373
446,1559.0,117080,0.9711542138689613
447,892.0,117983,0.9709350005223849
448,1371.0,118453,0.9708209223477718
449,622.0,118547,0.9707981083213078
450,248.0,118581,0.970789856571424
451,243.0,118613,0.9707820902826653
452,698.0,118838,0.9707274853190332
453,704.0,119457,0.9705772768445634
454,230.0,119498,0.9705673284772163
455,802.0,119703,0.9705175881700137
456,786.0,119992,0.9704474707985148
457,1613.0,120563,0.9703089492919309
458,232.0,120601,0.9702997313995442
459,228.0,120642,0.9702897858770236
460,636.0,121681,0.9700377858035336
461,245.0,121713,0.9700300255313173
462,1233.0,122442,0.9698532536458656
463,1218.0,123118,0.9696893622747017
464,594.0,123237,0.9696605144416777
465,250.0,123268,0.9696529996008705
466,1556.0,124126,0.9694450313118272
467,968.0,124628,0.9693233735793563
468,619.0,124729,0.9692988984701102
469,247.0,124765,0.9692901748181887
470,637.0,124918,0.9692531001734195
471,1217.0,125668,0.9690713822309857
472,1199.0,126438,0.968884853920491
473,599.0,126548,0.9688582099500304
474,984.0,127052,0.9687361414907759
475,1034.0,127237,0.9686913384747025
476,234.0,127277,0.9686816516085398
477,251.0,127308,0.968674144353891
478,242.0,127345,0.9686651841583754
479,227.0,127383,0.9686559818816853
480,635.0,127545,0.9686167521039184
481,723.0,127820,0.9685501619829393
482,652.0,127896,0.9685317597023809
483,246.0,127927,0.9685242536093901
484,247.0,127961,0.968516021187192
485,625.0,128059,0.9684922928323773
486,638.0,128208,0.9684562171618685
487,595.0,128308,0.9684320060560497
488,697.0,128536,0.9683768069979849
489,613.0,128639,0.9683518716131284
490,1040.0,129316,0.9681879919070615
491,812.0,130602,0.9678767694604055
492,625.0,130695,0.9678542665842965
493,608.0,130804,0.9678278929115744
494,711.0,130961,0.9677899064075141
495,234.0,131000,0.9677804705007459
496,1140.0,131206,0.9677306310836541
497,634.0,131375,0.9676897453230922
498,1205.0,132227,0.9674836493315495
499,240.0,132265,0.9674744582793883
500,1209.0,133119,0.9672679245049649
501,232.0,133160,0.9672580100583098
502,597.0,133252,0.9672357633771321
503,243.0,133288,0.9672270582933454
504,624.0,133381,0.9672045705228477
505,1308.0,133627,0.9671450892633844
506,608.0,133712,0.9671245376460275
507,592.0,133829,0.967096249663475
508,251.0,133861,0.9670885129234565
509,925.0,134591,0.9669120353518323
510,247.0,134619,0.9669052669904272
511,237.0,134656,0.9668963231569537
512,798.0,134809,0.966859340075271
513,637.0,134901,0.9668371025633986
514,617.0,135001,0.966812931934944
515,637.0,135156,0.9667754686549993
516,650.0,135244,0.9667541998259852
517,873.0,136241,0.966513266339112
518,1169.0,137273,0.9662639380499238
519,603.0,137417,0.966229153169933
520,1771.0,139422,0.9657449521093427
521,634.0,139588,0.9657048745204304
522,808.0,139767,0.9656616601888157
523,233.0,139806,0.9656522450323496
524,716.0,140063,0.9655902038609365
525,692.0,140820,0.9654074831824795
526,1319.0,141051,0.9653517325031654
527,611.0,141852,0.9651584401485855
528,584.0,141964,0.9651314160872183
529,694.0,142712,0.9649509533636171
530,639.0,142855,0.9649164569793438
531,2226.0,143798,0.9646890047081376
532,238.0,143832,0.9646808048854209
533,632.0,144011,0.9646376363799026
534,630.0,144101,0.9646159322745401
535,1010.0,144409,0.964541659697991
536,626.0,144508,0.9645177875843451
537,635.0,144595,0.9644968095479769
538,1135.0,145831,0.9641988260373606
539,837.0,146999,0.9639173210466598
540,596.0,147102,0.9638925004921028
541,658.0,147547,0.9637852734026217
542,791.0,147812,0.9637214247352791
543,250.0,147845,0.9637134740653267
544,1343.0,148417,0.9635756728743116
545,1521.0,148831,0.9634759479405431
546,792.0,149090,0.9634135648847807
547,847.0,150250,0.9631342154236361
548,787.0,150533,0.9630660760798256
549,694.0,151279,0.962886480981926
550,675.0,152123,0.9626833333418455
551,234.0,152160,0.9626744285610825
552,623.0,152255,0.9626515653120453
553,237.0,152292,0.9626426608251353
554,243.0,152323,0.9626352003724895
555,707.0,152805,0.962519209804902
556,1019.0,153063,0.9624571293102183
557,950.0,153715,0.9623002615635784
558,638.0,153863,0.9622646571081315
559,233.0,153898,0.9622562373281648
560,222.0,153942,0.9622456525664458
561,586.0,154080,0.962212455659928
562,653.0,154155,0.9621944143432644
563,238.0,154191,0.9621857546314201
564,225.0,154235,0.9621751706450068
565,632.0,154318,0.9621552057148546
566,243.0,154353,0.9621467868925835
567,236.0,154390,0.9621378870748527
568,724.0,154989,0.9619938176956979
569,813.0,155140,0.9619575031099776
570,732.0,155698,0.9618233193810354
571,1245.0,156245,0.9616917990185613
572,879.0,157196,0.961463183942429
573,1022.0,157450,0.9614021329609983
574,249.0,157479,0.9613951628199289
575,639.0,157621,0.9613610338931698
576,2450.0,158889,0.9610563307053025
577,945.0,159531,0.9609020935227903
578,679.0,160124,0.9607596503284627
579,602.0,160290,0.9607197796253075
580,589.0,160409,0.9606911986334311
581,226.0,160450,0.960681351597879
582,1016.0,160734,0.9606131456347206
583,633.0,160842,0.960587209426683
584,235.0,160876,0.9605790444690823
585,765.0,161030,0.9605420628831428
586,1007.0,161350,0.9604652225821495
587,1421.0,161562,0.9604143192679326
588,246.0,161594,0.9604066359831499
589,613.0,161701,0.9603809454460348
590,804.0,161898,0.9603336478432659
591,551.0,162845,0.9601063157351909
592,252.0,162880,0.9600979148406311
593,1282.0,163274,0.960003349841588
594,635.0,163435,0.9599647104795436
595,231.0,163475,0.9599551108792355
596,618.0,163575,0.9599311122984437
597,247.0,163610,0.9599227129369072
598,247.0,163641,0.9599152735637786
599,678.0,163966,0.9598372836064267
600,237.0,163998,0.9598296049379115
601,605.0,164089,0.9598077690600499
602,1184.0,165066,0.9595733646109322
603,611.0,165168,0.9595488957990513
604,245.0,165198,0.9595416992084196
605,1151.0,166204,0.9593004047849184
606,249.0,166234,0.9592932100579624
607,623.0,166455,0.9592402105655986
608,996.0,166829,0.959150525787514
609,240.0,166868,0.9591411741143068
610,612.0,166970,0.9591167163231442
611,235.0,167007,0.95910784453344
612,246.0,167039,0.959100171700415
613,251.0,167068,0.9590932182485064
614,1292.0,167934,0.9588855970165829
615,250.0,167968,0.9588774465226279
616,638.0,168114,0.9588424481301745
617,244.0,168145,0.9588350171290667
618,220.0,168190,0.9588242302944502
619,231.0,168227,0.9588153612102296
620,910.0,169630,0.9584791156527198
621,649.0,169721,0.9584573104981446
622,1019.0,170005,0.9583892624363187
623,230.0,170046,0.9583794389954945
624,251.0,170077,0.9583720115826941
625,231.0,170119,0.9583619487281434
626,223.0,170158,0.9583526047435259
627,761.0,170570,0.9582538994962913
628,783.0,170700,0.9582227567467329
629,586.0,170809,0.9581966455291108
630,229.0,170850,0.9581868240626001
631,607.0,170941,0.9581650255575835
632,1390.0,171265,0.9580874173239773
633,228.0,171308,0.9580771179383115
634,250.0,171338,0.9580699323859736
635,1017.0,171605,0.9580059833443075
636,652.0,172564,0.9577763289119876
637,239.0,172601,0.9577674695208113
638,247.0,172633,0.9577598074107447
639,233.0,172670,0.9577509481723917
640,809.0,172845,0.9577090474797502
641,631.0,172942,0.9576858233140367
642,1228.0,173621,0.9575232699222971
643,1571.0,173859,0.9574662989755103
644,617.0,173953,0.9574437987790457
645,1743.0,175015,0.9571896311609078
646,234.0,175051,0.9571810164919153
647,671.0,175914,0.9569745269376292
648,244.0,175945,0.9569671104128564
649,962.0,176491,0.9568364933007608
650,633.0,176662,0.9567955894098804
651,637.0,176816,0.9567587534841747
652,804.0,177012,0.9567118734479577
653,248.0,177042,0.9567046981349163
654,598.0,177267,0.9566508850024206
655,754.0,177713,0.9565442243618375
